,body type,Kilometers driven,Transmission type,Number of owners,car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of Doors,City
0,2,120000,1,3,160,2015,400000.0,4,5,5,998.0,23.1,138,0,0,4,150,5,0
1,7,32706,1,2,50,2018,811000.0,4,0,5,1497.0,17.0,138,0,0,4,170,4,0
2,2,11949,1,1,273,2018,585000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
3,8,17794,1,1,87,2014,462000.0,4,0,5,1197.0,19.1,86,0,0,4,172,4,0
4,7,60000,1,1,178,2015,790000.0,1,5,5,1248.0,23.65,55,3,0,4,190,5,0
5,7,20000,1,1,101,2020,1900000.0,1,5,5,1956.0,17.1,86,3,0,4,170,5,0
6,2,37772,1,1,37,2017,345000.0,4,0,5,1198.0,20.63,57,0,0,4,150,5,0
7,7,30000,0,1,85,2021,1200000.0,4,5,5,998.0,18.15,86,3,0,4,170,5,0
8,8,37000,0,1,163,2018,960000.0,4,0,5,1462.0,20.28,66,0,0,4,170,4,0
9,2,11949,1,1,273,2017,585000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
10,2,50000,1,1,157,2018,690000.0,4,5,5,1197.0,21.4,110,0,0,4,180,5,0
11,2,24887,0,1,77,2019,682000.0,4,5,5,1197.0,18.9,84,0,0,4,165,5,0
12,2,23000,0,1,66,2018,825000.0,4,0,5,1199.0,18.2,57,0,0,4,172,5,0
13,2,48928,0,1,273,2018,595000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
14,7,108862,1,3,147,2014,690000.0,1,0,7,2179.0,15.1,116,3,0,4,175,5,0
15,7,80000,1,1,101,2018,1350000.0,1,5,5,1956.0,17.1,86,3,0,4,170,5,0
16,7,16000,0,1,204,2022,5595000.0,1,0,5,1950.0,19.26500376081233,9,3,0,4,219,5,0
17,2,65376,1,2,90,2014,521000.0,1,0,5,1396.0,21.27,9,0,0,4,170,5,0
18,7,10000,1,1,265,2022,1005000.0,4,5,5,1199.0,17.33,86,0,0,1,170,5,0
19,8,67000,1,2,63,2016,775000.0,4,0,5,1497.0,17.8,14,0,0,4,195,4,0
20,8,100000,0,3,17,2011,2200000.0,1,5,5,1995.0,18.48,138,0,1,4,226,4,0
21,2,18083,1,1,179,2016,582000.0,4,0,5,1197.0,22.38,116,0,0,1,170,5,0
22,7,30000,1,1,236,2020,1090000.0,4,5,5,1498.0,16.42,86,0,0,4,170,5,0
23,2,57634,1,2,273,2016,457000.0,4,0,5,1199.0,23.84,116,0,0,4,150,5,0
24,8,50000,0,2,211,2016,4900000.0,4,5,5,4663.0,7.81,86,3,0,4,250,4,0
25,8,110000,1,1,63,2015,550000.0,4,5,5,1497.0,17.4,86,0,0,4,195,4,0
26,2,23447,0,1,81,2018,570000.0,4,0,5,1086.0,20.3,140,0,0,4,170,5,0
27,2,30000,1,2,82,2009,220000.00000000003,3,5,5,1086.0,13.45,86,0,0,4,170,5,0
28,8,33000,0,1,200,2017,4145000.000000001,4,0,5,1991.0,15.0,138,3,0,1,236,4,0
29,7,87667,1,2,147,2014,861000.0,1,4,7,2179.0,15.1,8,3,0,4,175,5,0
30,8,40000,0,2,3,2016,1785000.0000000002,1,5,5,1968.0,17.11,86,3,0,4,222,4,0
31,7,79012,1,2,147,2014,802999.9999999999,1,0,7,2179.0,15.1,116,3,0,4,175,5,0
32,7,31344,1,1,101,2021,2565000.0,1,0,5,1956.0,17.1,8,3,0,4,170,5,0
33,8,50000,1,1,87,2018,674000.0,4,5,5,1197.0,20.14,86,0,0,4,172,4,0
34,2,12434,1,1,184,2015,349000.0,4,0,5,998.0,20.51,14,0,0,4,152,5,0
35,4,60000,1,2,165,2019,1050000.0,4,5,7,1462.0,19.34,86,0,0,4,170,5,0
36,8,12000,0,1,197,2019,4425000.0,1,0,5,1950.0,12.6,138,3,0,4,240,4,0
37,2,40987,1,2,184,2015,406000.0,4,0,5,998.0,20.51,138,0,0,4,152,5,0
38,8,18157,0,1,17,2020,4965000.0,4,6,5,1998.0,15.56,9,2,0,4,250,4,0
39,7,120000,1,3,285,2011,1100000.0,1,5,7,2982.0,11.5,86,3,0,4,176,5,0
40,7,40000,0,2,236,2020,1100000.0,1,5,5,1461.0,19.87,86,0,0,4,170,5,0
41,2,89667,1,1,90,2016,594000.0,4,0,5,1197.0,18.6,138,0,0,4,170,5,0
42,2,120000,1,1,90,2017,710000.0,1,5,5,1396.0,22.54,86,3,0,4,180,5,0
43,2,56997,1,1,157,2017,692000.0,4,6,5,1197.0,21.4,9,0,0,4,180,5,0
44,8,120000,1,1,75,2013,650000.0,4,5,5,1797.0,16.3,86,0,0,4,191,4,0
45,8,59000,0,1,4,2015,2090000.0,1,5,5,1968.0,18.53,138,3,0,4,232,4,0
46,2,18835,1,1,155,2021,411000.00000000006,4,6,5,796.0,22.05,116,0,0,4,170,5,0
47,7,120000,1,2,138,2010,650000.0,1,5,7,2179.0,12.05,55,3,0,4,170,5,0
48,2,40000,0,1,213,2016,3675000.0,4,0,4,1998.0,17.33,138,3,0,1,233,3,0
49,2,60932,1,1,273,2019,610000.0,4,0,5,1199.0,23.84,110,0,0,4,150,5,0
50,7,33539,0,2,107,2020,1675000.0,4,0,5,1353.0,16.5,138,3,0,1,170,5,0
51,2,66837,1,2,273,2018,530000.0,4,0,5,1199.0,23.84,14,0,0,4,150,5,0
52,8,400,0,1,200,2022,7990000.000000001,1,4,5,2925.0,19.26500376081233,138,3,0,1,250,4,0
53,2,60000,1,2,154,2008,250000.0,4,5,5,796.0,19.7,86,0,0,4,137,5,0
54,2,44285,1,1,90,2019,715000.0,4,5,5,1197.0,18.6,57,0,0,4,170,5,0
55,7,100000,0,2,203,2014,3500000.0,1,5,7,2987.0,11.3,86,3,0,4,220,5,0
56,7,25000,0,1,264,2021,2250000.0,1,0,6,1956.0,14.08,138,3,0,4,170,5,0
57,2,36735,1,1,77,2018,625000.0,4,0,5,1197.0,18.9,9,0,0,4,165,5,0
58,7,79000,0,1,10,2015,2695000.0,1,0,7,2967.0,12.07,138,3,0,4,215,5,0
59,7,120000,1,2,138,2010,650000.0,1,5,8,2179.0,12.05,55,3,0,4,170,5,0
60,2,10000,0,1,238,2022,550000.0,4,5,5,999.0,22.0,86,0,0,1,170,5,0
61,7,53645,1,1,265,2018,825000.0,1,0,5,1497.0,21.5,138,3,0,4,154,5,0
62,2,100000,1,2,76,2006,220000.00000000003,4,5,5,1341.0,15.3,86,0,0,4,166,5,0
63,2,53982,0,1,160,2014,428000.0,4,0,5,998.0,26.68,86,0,0,1,170,5,0
64,8,110000,1,1,249,2014,695000.0,1,5,5,1498.0,21.14,8,3,0,4,183,4,0
65,7,37741,1,2,50,2019,930000.0,4,5,5,1496.0,15.9,138,0,0,1,170,4,0
66,2,17367,1,1,155,2021,455000.0,4,0,5,796.0,22.05,116,0,0,4,170,5,0
67,7,94000,1,1,73,2017,1195000.0,1,0,5,1582.0,19.67,57,3,0,4,190,5,0
68,7,33700,0,1,256,2021,2175000.0,1,0,5,1956.0,14.6,57,3,0,4,170,5,0
69,2,54601,1,3,179,2014,442000.0,4,0,5,1197.0,22.38,138,0,0,1,170,5,0
70,2,110000,1,1,179,2018,690000.0,1,5,5,1248.0,28.4,86,3,0,4,170,5,0
71,2,64000,1,2,160,2017,500000.0,4,4,5,998.0,23.1,110,0,0,4,150,5,0
72,8,40525,0,1,15,2016,3395000.0000000005,1,0,5,1995.0,21.76,138,3,0,4,226,4,0
73,8,100000,1,1,163,2015,650000.0,1,5,5,1248.0,26.21,138,3,0,4,160,4,0
74,2,44154,0,2,66,2016,537000.0,4,0,5,1199.0,19.0,138,0,0,4,172,5,0
75,4,70000,1,1,240,2016,750000.0,1,5,7,1461.0,19.98,138,3,0,4,170,5,0
76,8,79000,0,1,248,2018,1789999.9999999998,4,0,5,1798.0,15.1,138,3,0,4,220,4,0
77,2,68039,1,2,273,2017,468000.0,4,5,5,1199.0,23.84,84,0,0,4,150,5,0
78,2,60000,1,2,175,2014,420000.0,4,5,5,1197.0,18.5,116,0,0,4,156,5,0
80,2,10000,1,1,90,2021,920000.0,4,5,5,998.0,20.0,86,3,0,1,170,5,0
81,8,49873,1,1,63,2013,533000.0,4,4,5,1497.0,16.8,140,0,0,4,170,4,0
82,2,90000,0,3,300,2013,850000.0,4,5,5,1197.0,17.2,86,3,0,4,170,5,0
83,8,48960,1,2,249,2017,751000.0,1,5,5,1498.0,21.13,116,3,0,4,185,4,0
84,2,70000,1,2,77,2014,388000.0,1,5,5,1120.0,24.0,86,0,0,4,157,5,0
85,2,68000,1,2,90,2013,490000.00000000006,4,0,5,1197.0,18.5,116,0,0,4,170,5,0
86,7,23017,1,1,133,2016,494000.00000000006,1,4,6,1198.0,25.32,84,3,0,4,160,5,0
87,2,83000,1,2,90,2013,525000.0,1,0,5,1396.0,21.27,14,0,0,4,170,5,0
88,7,92000,0,2,21,2016,2890000.0,1,0,5,1995.0,16.55,138,2,0,1,170,5,0
89,2,62139,1,1,184,2018,550000.0,4,0,5,998.0,20.51,110,0,0,4,152,5,0
90,2,74000,1,1,89,2013,365000.0,3,0,5,1086.0,19.2,57,0,0,4,165,5,0
91,2,26500,0,2,238,2016,420000.0,4,0,5,999.0,24.04,110,0,0,4,159,5,0
92,8,81716,0,1,308,2017,1895000.0,1,0,5,1969.0,27.03,116,3,0,4,215,4,0
93,8,24000,0,2,200,2018,5990000.0,1,0,5,2987.0,17.0,138,3,0,1,250,4,0
94,7,10000,0,1,146,2022,1050000.0,4,5,5,1197.0,17.0,138,3,0,4,170,5,0
95,7,18000,0,1,123,2021,2075000.0,4,0,6,1451.0,16.56,8,3,0,4,170,5,0
96,2,38197,1,1,61,2013,394000.0,4,4,5,1198.0,19.4,86,0,0,4,170,5,0
97,2,23000,0,2,157,2017,725000.0,4,0,5,1197.0,19.56,57,0,0,1,170,5,0
98,2,50000,1,1,156,2013,240000.0,4,5,5,998.0,20.92,110,0,0,4,170,5,0
99,7,10000,0,1,239,2022,835000.0,4,5,5,999.0,19.03,86,0,0,1,170,5,0
100,2,19000,1,1,77,2019,695000.0,4,5,5,1197.0,18.9,9,0,0,4,165,5,0
101,7,14000,0,1,107,2020,1725000.0,4,0,5,1353.0,16.5,138,3,0,1,170,5,0
102,2,29268,1,1,74,2014,330000.0,4,0,5,814.0,21.1,138,0,0,4,135,5,0
103,8,20000,0,1,305,2019,990000.0,4,5,5,1197.0,18.19,86,3,0,4,185,4,0
104,8,30000,1,1,295,2018,750000.0,4,5,5,1496.0,17.1,86,0,0,4,170,4,0
105,2,64374,0,1,66,2018,755000.0,4,5,5,1199.0,19.0,57,0,0,4,172,5,0
106,7,30000,1,1,122,2021,1750000.0,1,5,5,1956.0,17.41,86,3,0,4,170,5,0
107,7,7100,0,1,71,2022,2083000.0,4,0,6,1999.0,14.2,138,0,0,4,170,5,0
108,2,43679,1,1,89,2010,271000.0,4,0,5,1086.0,19.81,116,0,0,4,170,5,0
109,7,40000,0,1,73,2018,1280000.0,4,5,5,1591.0,14.8,86,0,0,4,170,5,0
110,2,40562,1,1,90,2012,436000.00000000006,1,4,5,1396.0,22.54,110,0,0,4,170,5,0
111,7,26500,0,2,73,2021,1675000.0,4,0,5,1397.0,19.26500376081233,138,3,0,4,170,5,0
112,7,20000,0,1,85,2019,1250000.0,4,5,5,998.0,18.15,86,3,0,4,170,5,0
113,7,58600,0,1,147,2016,1350000.0,1,5,7,2179.0,16.0,116,3,0,4,185,5,0
115,7,42050,0,1,301,2020,2225000.0,4,0,5,1498.0,18.4,138,3,0,4,170,5,0
116,2,65017,0,1,160,2015,475000.0,4,3,5,998.0,23.1,138,0,0,4,150,5,0
117,8,80000,0,2,14,2008,600000.0,1,5,5,1995.0,13.2,86,3,0,4,216,4,0
118,7,30000,0,1,101,2021,2450000.0,4,5,5,1368.0,14.1,86,0,0,4,170,5,0
119,7,20000,0,1,107,2020,1625000.0,4,5,5,1353.0,16.5,86,3,0,1,170,5,0
120,8,36349,0,1,251,2014,1650000.0,1,5,5,1968.0,17.2,138,3,0,4,170,4,0
121,2,80000,1,3,89,2009,249000.00000000003,4,5,5,1197.0,20.36,86,0,0,4,170,4,0
122,7,83394,1,2,236,2014,630000.0,4,5,5,1598.0,13.24,110,0,0,4,170,5,0
123,7,30000,0,2,9,2016,2599000.0,1,5,5,1968.0,14.16,86,3,0,4,200,5,0
125,2,52204,1,1,156,2017,385000.0,4,4,5,998.0,24.39,116,0,0,4,170,5,0
126,2,110000,1,3,90,2012,300000.0,4,5,5,1197.0,17.0,110,0,0,4,170,5,0
127,7,89000,0,1,51,2017,2975000.0,1,5,7,3198.0,10.91,8,3,0,4,160,5,0
128,2,29813,1,2,155,2014,276000.0,4,0,5,796.0,22.05,86,0,0,4,170,5,0
129,2,30000,1,1,54,2018,500000.0,4,5,5,1196.0,18.16,55,0,0,0,157,5,0
130,2,13345,0,1,172,2020,730000.0,4,0,5,1197.0,20.89,138,0,0,1,170,5,0
131,7,17100,0,1,71,2022,2245000.0,1,0,7,1498.0,18.1,57,3,0,4,170,5,0
132,2,75000,1,1,77,2014,399000.0,4,0,5,1197.0,18.9,57,0,0,4,165,5,0
133,2,75523,1,2,89,2011,312000.0,4,0,5,1197.0,20.36,110,0,0,4,170,4,0
134,7,47000,1,1,147,2015,1275000.0,1,0,7,2179.0,16.0,116,3,0,4,185,5,0
135,7,36500,1,1,256,2022,1990000.0,1,0,5,1956.0,16.35,138,3,0,4,170,5,0
136,4,28253,1,1,243,2020,719000.0,4,0,7,999.0,20.0,116,0,0,1,170,5,0
137,7,50000,1,1,73,2016,1260000.0,1,5,5,1582.0,19.67,138,3,0,4,190,5,0
138,2,90000,1,2,89,2010,300000.0,4,5,5,1197.0,20.36,86,0,0,4,170,4,0
139,7,70000,0,2,23,2016,3981000.0,1,5,5,2993.0,15.97,86,3,0,4,230,5,0
140,2,52571,1,1,90,2016,627000.0,4,0,5,1197.0,18.6,57,0,0,4,170,5,0
141,8,70000,0,2,14,2010,1300000.0,1,5,5,1995.0,16.07,86,3,0,4,216,4,0
142,8,61993,1,1,63,2015,672000.0,4,0,5,1497.0,17.4,116,0,0,4,195,4,0
143,7,57000,0,1,84,2017,1825000.0,1,0,5,1995.0,16.38,138,3,0,4,195,5,0
144,7,80000,1,2,285,2021,3500000.0,1,5,7,2755.0,14.24,86,3,0,4,170,5,0
145,2,36359,1,1,90,2013,440000.00000000006,4,0,5,1197.0,18.5,9,0,0,4,170,5,0
146,7,70000,1,2,256,2019,1460000.0,1,5,5,1956.0,17.0,86,3,0,4,170,4,0
147,7,7500,0,1,122,2022,2041000.0,4,0,5,1451.0,19.26500376081233,138,3,0,4,170,5,0
148,8,30301,0,1,86,2017,1033000.0,4,0,5,1591.0,17.0,8,0,0,4,158,4,0
149,2,66000,1,1,89,2010,275000.0,4,0,5,1197.0,20.36,50,0,0,4,170,4,0
150,2,56010,1,1,90,2017,676000.0,4,0,5,1197.0,18.6,138,0,0,4,170,5,0
151,7,47000,0,1,206,2017,4290000.0,1,0,5,2143.0,17.9,138,3,0,4,210,5,0
152,7,60000,1,2,229,2014,650000.0,1,5,5,1461.0,19.01,86,3,0,4,168,5,0
153,2,83829,1,1,179,2014,444000.00000000006,1,5,5,1248.0,25.2,110,3,0,4,155,5,0
154,2,10000,0,1,238,2020,510000.0,4,5,5,999.0,22.0,86,0,0,1,170,5,0
155,7,35000,0,2,236,2016,925000.0,1,0,5,1461.0,19.6,57,3,0,4,168,5,0
156,8,51116,0,2,63,2019,1024000.0,4,0,5,1497.0,18.0,138,0,0,4,195,4,0
157,8,80000,1,3,249,2016,500000.0,1,5,5,1498.0,21.14,86,3,0,4,183,4,0
158,2,40000,0,2,300,2017,995000.0,4,5,5,1197.0,17.21,86,3,0,4,177,5,0
159,7,85565,0,2,62,2012,935000.0,4,0,5,2354.0,11.1,138,0,0,4,170,5,0
160,7,36916,1,1,50,2018,834000.0,4,0,5,1497.0,17.0,86,0,0,4,170,4,0
161,2,90000,1,1,300,2015,560000.0,1,5,5,1498.0,20.14,86,3,0,4,163,5,0
162,2,112795,1,1,179,2012,454000.0,4,0,5,1197.0,22.38,116,0,0,1,170,5,0
163,8,11000,0,1,190,2021,3690000.0,4,0,5,1332.0,19.26500376081233,116,3,0,1,230,4,0
164,4,120000,1,2,289,2014,1100000.0,4,5,7,1998.0,11.4,86,0,0,4,170,5,0
165,2,36685,1,2,61,2016,462000.0,4,0,5,1198.0,19.4,110,0,0,4,164,5,0
166,7,120000,0,2,80,2012,900000.0,1,5,7,2199.0,11.72,86,0,0,4,182,5,0
167,8,4000,0,1,18,2022,7900000.0,4,0,4,1998.0,13.32,9,3,0,4,250,4,0
168,2,32184,0,2,157,2019,843000.0,4,4,5,1197.0,21.4,116,0,0,4,180,5,0
169,2,32279,1,1,158,2018,799000.0,4,0,5,998.0,21.1,138,3,0,4,186,5,0
170,2,59698,1,1,90,2015,576000.0,4,0,5,1197.0,18.6,138,0,0,4,170,5,0
171,7,46071,1,1,235,2018,949000.0,1,0,5,1461.0,20.37,57,3,0,4,170,5,0
172,7,90000,1,1,183,2017,795000.0,1,5,5,1248.0,24.3,140,3,0,4,172,5,0
173,7,9554,1,1,85,2019,1085000.0,4,4,5,998.0,18.27,9,3,0,4,170,5,0
174,7,14000,0,1,101,2022,2590000.0,4,0,5,1368.0,14.1,56,0,0,4,170,5,0
175,7,74499,1,2,236,2013,516000.0,1,4,5,1461.0,20.45,14,3,0,4,170,5,0
176,7,56211,0,2,50,2017,777000.0,4,0,5,1497.0,14.8,57,0,0,4,171,4,0
177,2,9001,1,1,66,2019,753000.0,4,0,5,1199.0,18.2,138,0,0,4,172,5,0
178,7,65457,0,2,147,2017,1226000.0,1,5,7,1997.0,16.0,84,3,0,4,185,5,0
179,2,23682,1,1,66,2017,725000.0,4,0,5,1199.0,18.7,110,0,0,4,172,5,0
180,8,50000,1,1,86,2020,1150000.0,1,5,5,1582.0,22.0,110,3,0,4,170,4,0
181,2,134557,1,2,179,2015,629000.0,1,0,5,1248.0,25.2,138,3,0,4,155,5,0
182,8,96567,1,2,180,2013,447000.0,4,0,5,1197.0,22.41,9,0,0,1,170,4,0
184,4,83007,1,2,165,2014,786000.0,1,0,7,1248.0,20.77,138,3,0,4,160,5,0
185,2,34000,1,1,66,2018,745000.0,4,0,5,1199.0,18.7,66,0,0,4,172,5,0
186,2,81634,0,1,77,2014,490000.00000000006,4,0,5,1197.0,18.9,138,0,0,4,163,5,0
187,8,57284,0,2,63,2017,942000.0,4,0,5,1497.0,18.0,14,0,0,4,178,4,0
188,7,70000,0,2,50,2016,675000.0,4,5,5,1499.0,15.63,116,0,0,4,182,5,0
189,2,70000,1,2,61,2013,330000.0,4,5,5,1198.0,19.4,110,0,0,4,164,5,0
190,8,46429,0,2,295,2018,875000.0,4,5,5,1496.0,17.8,138,0,0,4,170,4,0
191,2,17624,1,1,157,2017,869000.0,4,0,5,1197.0,21.4,138,0,0,4,180,5,0
192,8,100000,1,2,305,2012,425000.0,1,5,5,1598.0,20.54,9,3,0,4,186,4,0
193,8,30000,1,1,63,2019,1070000.0,4,5,5,1497.0,17.4,86,0,0,4,189,4,0
194,7,49690,1,2,50,2018,1025000.0,4,5,5,1496.0,15.9,9,0,0,1,170,4,0
195,7,110000,1,1,147,2016,1000000.0,1,5,7,2179.0,16.0,138,3,0,4,185,5,0
196,8,50000,1,1,43,2009,375000.0,4,5,5,1368.0,16.0,55,3,0,4,165,4,0
198,7,55702,0,1,50,2018,844000.0,4,0,5,1497.0,14.8,116,0,0,4,171,4,0
199,2,45046,1,1,91,2016,764000.0,1,5,5,1396.0,21.19,14,3,0,4,165,5,0
200,2,53000,1,2,175,2014,420000.0,4,5,5,1197.0,18.5,116,0,0,4,156,5,0
201,2,94695,1,1,157,2016,684000.0,1,5,5,1248.0,27.39,110,3,0,4,170,5,0
202,2,22162,1,1,157,2019,802999.9999999999,4,6,5,1197.0,21.4,116,0,0,4,180,5,0
203,2,70000,1,2,82,2010,320000.0,4,5,5,1086.0,17.92,86,0,0,4,170,5,0
204,8,115331,1,1,63,2017,803999.9999999999,1,0,5,1498.0,26.0,116,3,0,4,175,4,0
205,8,70000,0,2,200,2013,1400000.0,1,5,5,2148.0,10.0,86,3,0,4,227,4,0
206,2,42233,1,2,179,2016,548000.0,4,0,5,1197.0,22.38,138,0,0,1,170,5,0
207,2,20941,1,1,77,2019,619000.0,4,0,5,1197.0,18.9,86,0,0,4,165,5,0
208,7,50000,1,2,183,2018,1000000.0,1,5,5,1248.0,24.3,110,3,0,4,172,5,0
209,7,46602,1,1,69,2018,865000.0,4,0,5,1199.0,17.5,14,0,0,1,164,5,0
210,7,50000,0,2,141,2014,1000000.0,1,5,7,2696.0,11.18,138,3,0,4,194,5,0
211,2,104000,1,2,179,2014,535000.0,1,0,5,1248.0,25.2,110,3,0,4,155,5,0
212,7,90000,1,1,50,2018,975000.0,1,0,5,1498.0,23.0,14,3,0,4,170,4,0
213,2,50035,1,1,157,2017,699000.0,4,5,5,1197.0,21.4,9,0,0,4,180,5,0
214,7,80000,1,1,265,2021,1150000.0,4,5,5,1199.0,17.57,55,3,0,4,170,5,0
215,2,90000,1,2,90,2015,625000.0,4,0,5,1197.0,18.6,66,0,0,4,170,5,0
216,8,90000,0,4,200,2011,1000000.0,1,5,5,2143.0,14.21,86,3,0,4,242,4,0
217,8,120000,1,1,281,2011,600000.0,1,5,5,1364.0,21.43,116,3,0,4,170,4,0
218,8,25170,1,1,180,2015,675000.0,4,4,5,1197.0,22.41,9,0,0,1,170,4,0
219,8,25022,1,1,163,2021,893000.0,4,0,5,1462.0,20.65,86,0,0,4,170,4,0
220,2,100000,1,2,179,2012,420000.0,1,5,5,1248.0,22.9,86,3,0,4,158,5,0
221,8,26367,1,1,163,2020,941000.0,4,6,5,1462.0,20.65,86,0,0,4,170,4,0
222,8,76567,0,2,75,2015,630000.0,4,6,5,1797.0,14.5,116,0,0,4,191,4,0
223,4,120000,1,2,289,2013,1275000.0,1,5,7,2494.0,12.99,86,3,0,4,155,5,0
224,2,36459,0,2,77,2015,525000.0,4,0,5,1197.0,18.9,110,0,0,4,163,5,0
225,7,93725,1,1,178,2016,750000.0,1,0,5,1248.0,23.65,57,3,0,4,160,5,0
226,8,115599,0,2,163,2016,632000.0,4,0,5,1373.0,19.12,116,0,0,4,190,4,0
227,8,43469,1,1,180,2015,645000.0,4,6,5,1197.0,22.41,110,0,0,1,170,4,0
228,8,70000,1,4,56,2005,500000.0,4,5,5,1299.0,13.8,86,0,0,4,157,4,0
229,7,77000,0,2,23,2019,6795000.0,1,0,5,2993.0,13.38,138,2,0,4,170,5,0
230,7,100000,1,1,183,2018,850000.0,1,0,5,1248.0,24.3,110,3,0,4,172,5,0
231,8,72000,1,1,220,2008,299000.0,4,5,5,1999.0,14.7,116,0,0,4,180,4,0
232,8,77000,0,1,99,2013,2095000.0,1,0,5,2179.0,16.36,9,3,0,4,225,4,0
233,7,87101,0,1,10,2013,2800000.0,1,0,7,2967.0,12.07,138,3,0,4,215,5,0
234,2,40771,1,2,300,2021,999000.0,4,4,5,999.0,18.24,116,3,0,1,170,5,0
235,2,28000,1,1,66,2018,825000.0,4,0,5,1199.0,18.7,116,0,0,4,172,5,0
236,2,40000,1,3,184,2008,250000.0,4,0,5,1061.0,18.9,116,0,0,4,170,4,0
237,7,26000,0,1,85,2020,1295000.0,4,0,5,998.0,18.15,138,3,0,1,170,5,0
238,2,76032,1,1,184,2012,329000.0,4,0,5,998.0,18.9,116,0,0,4,170,4,0
239,8,113780,1,1,163,2018,666000.0,4,0,5,1462.0,21.56,9,0,0,4,170,4,0
240,8,24000,0,1,1,2019,2290000.0,1,5,5,1968.0,20.38,138,3,0,4,215,4,0
241,7,65812,1,2,85,2020,1026000.0,1,4,5,1493.0,23.7,138,3,0,1,170,5,0
242,7,10000,0,1,246,2022,1700000.0,4,5,5,999.0,17.2,110,3,0,1,170,5,0
243,2,39959,1,1,157,2016,681000.0,4,6,5,1197.0,21.4,84,0,0,4,180,5,0
244,7,10000,0,1,71,2022,1689999.9999999998,4,5,7,1999.0,14.2,86,0,0,4,170,5,0
245,2,65484,1,3,156,2016,318000.0,4,5,5,998.0,24.39,86,0,0,4,170,5,0
246,2,49174,1,1,157,2017,688000.0,4,0,5,1197.0,21.4,110,0,0,4,180,5,0
247,7,20000,1,1,302,2022,1300000.0,4,5,5,999.0,20.08,110,3,0,1,170,5,0
248,2,50000,1,1,89,2009,265000.0,4,5,5,1197.0,20.36,86,0,0,4,170,4,0
249,8,40000,0,2,180,2018,645000.0,4,5,5,1197.0,22.0,86,0,0,1,170,4,0
250,7,30000,0,1,71,2022,2000000.0,4,5,7,1999.0,14.2,138,0,0,4,170,5,0
251,1,50000,0,3,14,2007,900000.0,4,5,5,2497.0,10.9,86,0,0,4,242,4,0
252,2,80000,1,1,179,2020,620000.0,4,5,5,1197.0,21.21,86,0,0,1,170,5,0
253,7,20000,1,1,119,2022,1470000.0,4,5,5,1498.0,15.43,86,0,0,1,170,5,0
254,8,70000,1,1,70,2010,220000.00000000003,0,5,5,1495.0,13.2,86,0,0,4,170,4,0
255,8,90000,0,1,3,2014,1475000.0,1,5,5,1968.0,17.11,86,3,0,4,222,4,0
256,2,40000,1,1,238,2020,415000.00000000006,4,5,5,999.0,21.74,9,0,0,1,170,5,0
257,2,63797,1,1,66,2016,610000.0,4,0,5,1199.0,18.7,14,0,0,4,172,5,0
258,2,60216,1,2,77,2018,560000.0,4,0,5,1197.0,18.9,110,0,0,4,165,5,0
259,2,10000,0,2,156,2015,425000.0,4,5,5,998.0,23.95,86,0,0,4,145,5,0
260,2,38153,1,1,157,2016,686000.0,4,0,5,1197.0,21.4,116,0,0,4,180,5,0
261,2,76485,1,1,179,2015,517000.0,4,0,5,1197.0,22.38,116,0,0,1,170,5,0
262,2,40000,1,2,184,2015,385000.0,4,5,5,998.0,20.51,86,0,0,4,152,5,0
263,2,40623,1,1,157,2016,675000.0,4,0,5,1197.0,21.4,9,0,0,4,180,5,0
264,8,18000,0,2,197,2018,3300000.0,1,5,5,2143.0,19.27,110,3,0,4,233,4,0
265,2,88051,1,1,179,2014,499000.0,4,5,5,1197.0,22.38,110,0,0,1,170,5,0
266,2,16522,1,1,179,2022,774000.0,4,4,5,1197.0,22.38,86,0,0,1,170,5,0
267,7,70000,1,2,101,2019,1475000.0,1,5,5,1956.0,16.3,86,3,0,4,170,5,0
268,2,80000,1,3,184,2008,240000.0,4,5,5,1061.0,18.9,86,0,0,4,170,4,0
269,7,50000,1,1,85,2019,1025000.0,1,5,5,1396.0,23.7,86,0,0,4,170,5,0
270,7,10000,1,1,265,2023,1400000.0,4,5,5,1199.0,17.33,86,0,0,1,170,5,0
271,2,57000,1,2,74,2013,285000.0,4,5,5,814.0,21.1,116,0,0,4,135,5,0
272,7,110000,1,1,147,2016,1000000.0,1,5,7,2179.0,16.0,86,3,0,4,185,5,0
273,2,10000,1,1,157,2019,780000.0,4,5,5,1197.0,21.4,110,0,0,4,180,5,0
274,2,50000,1,2,179,2012,475000.0,4,5,5,1197.0,18.6,86,0,0,4,160,5,0
275,7,120000,1,1,146,2019,750000.0,1,5,5,1497.0,20.0,110,3,0,4,175,5,0
276,2,35469,1,1,77,2014,555000.0,4,0,5,1197.0,18.9,57,0,0,4,165,5,0
277,2,40073,1,2,66,2017,607000.0,4,5,5,1199.0,18.7,86,0,0,4,172,5,0
278,2,65730,1,2,77,2017,514000.0,4,5,5,1197.0,18.9,110,0,0,4,165,5,0
279,8,120000,1,2,157,2005,250000.0,4,5,5,1590.0,15.4,116,0,0,4,178,4,0
