,body type,Kilometers driven,Transmission type,Number of owners,car model,Year of manufacture,price,Fuel Type,Insurance Validity,Seats,Engine,Mileage,Color,Turbo Charger,Super Charger,Steering Type,Top Speed,No of Doors,City
4745,7,10000,1,1,302,2022,1700000.0,4,5,5,999.0,20.08,8,3,0,1,170,5,3
4746,2,78911,1,2,157,2016,572000.0,4,0,5,1197.0,21.4,9,0,0,4,180,5,3
4747,2,85298,1,1,37,2017,307000.0,4,6,5,1198.0,19.02,110,0,0,4,170,5,3
4748,8,60529,1,1,63,2014,454000.0,4,4,5,1497.0,17.4,138,0,0,4,195,4,3
4749,8,115276,1,2,249,2017,775000.0,1,0,5,1498.0,21.13,116,3,0,4,185,4,3
4750,7,60000,0,1,183,2019,850000.0,1,5,5,1248.0,24.3,86,3,0,4,172,5,3
4751,7,30241,1,1,236,2020,907000.0,4,5,5,1498.0,16.42,138,0,0,4,170,5,3
4752,2,24197,1,1,81,2019,509000.0,4,0,5,1086.0,20.3,86,0,0,4,170,5,3
4753,7,20000,0,1,204,2022,4800000.0,4,5,5,1332.0,19.26500376081233,86,3,0,4,210,5,3
4754,2,44981,1,1,92,2021,940000.0,4,4,5,998.0,20.0,138,3,0,1,170,5,3
4755,2,85497,1,2,226,2011,227000.0,1,0,5,1461.0,23.08,66,0,0,4,170,5,3
4756,7,20000,0,1,9,2022,6200000.0,4,5,5,1984.0,13.47,86,0,0,4,237,5,3
4757,2,30000,1,1,157,2019,650000.0,4,5,5,1197.0,21.4,86,0,0,4,180,5,3
4758,2,80000,1,1,179,2017,580000.0,1,5,5,1248.0,28.4,57,3,0,4,170,5,3
4759,2,41000,0,1,61,2017,595000.0,4,5,5,1198.0,16.5,138,0,0,4,145,5,3
4760,7,73000,0,1,73,2017,1100000.0,1,5,5,1582.0,17.01,8,3,0,4,190,5,3
4761,8,40000,1,1,180,2022,770000.0,4,5,5,1197.0,22.41,86,0,0,1,170,4,3
4762,2,27000,1,1,179,2018,695000.0,4,0,5,1197.0,22.0,110,0,0,4,170,5,3
4763,2,57380,1,3,273,2018,496000.0,4,0,5,1199.0,23.84,116,0,0,4,150,5,3
4764,8,81334,0,1,75,2018,1261000.0,1,4,5,1582.0,18.23,116,3,0,4,191,4,3
4765,8,70000,1,1,180,2022,875000.0,0,5,5,1197.0,31.12,86,0,0,1,170,4,3
4766,7,32483,1,1,265,2021,928000.0,1,5,5,1497.0,23.22,110,3,0,1,170,5,3
4767,7,71220,1,2,183,2016,803999.9999999999,1,5,5,1248.0,24.3,9,3,0,4,172,5,3
4768,7,17459,1,1,108,2021,1100000.0,4,2,5,998.0,18.2,8,3,0,1,170,5,3
4769,7,6517,1,1,159,2023,1275000.0,4,0,5,1462.0,17.38,138,0,0,1,170,5,3
4770,7,70427,1,1,73,2018,950000.0,1,0,5,1396.0,22.1,8,0,0,4,170,5,3
4771,2,52306,0,1,156,2018,400000.0,4,0,5,998.0,23.95,57,0,0,4,145,5,3
4772,8,111670,0,1,305,2015,550000.0,1,0,5,1498.0,21.21,138,3,0,4,186,4,3
4773,2,40000,1,1,184,2019,475000.0,4,5,5,998.0,21.79,86,0,0,4,170,5,3
4774,2,67000,1,1,91,2017,720000.0,1,5,5,1396.0,21.19,116,3,0,4,165,5,3
4775,8,77000,0,1,17,2018,4050000.0,1,5,5,1995.0,20.37,9,2,0,4,235,4,3
4776,7,71000,0,1,23,2016,3875000.0,1,5,5,2993.0,15.97,8,3,0,4,230,5,3
4777,8,88471,1,3,63,2012,417000.0,4,4,5,1497.0,16.8,116,0,0,4,170,4,3
4778,2,88479,1,1,77,2018,532000.0,1,4,5,1186.0,24.0,116,0,0,4,151,5,3
4779,4,39000,1,1,186,2020,1150000.0,4,5,6,1462.0,19.01,9,0,0,4,170,5,3
4780,8,50003,0,1,305,2018,944000.0,1,0,5,1498.0,22.15,9,3,0,4,180,4,3
4781,2,82163,1,1,77,2017,501000.0,4,0,5,1197.0,18.9,86,0,0,4,165,5,3
4782,2,40000,1,1,157,2022,850000.0,4,5,5,1197.0,22.35,138,0,0,1,170,5,3
